NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,HOURS_IA,HOURS_BDD,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_BEGINNER_IA,NUM_COURSES_BEGINNER_BDD,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,NUM_COURSES_ADVANCED_IA,NUM_COURSES_ADVANCED_BDD,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,AVG_SCORE_IA,AVG_SCORE_BDD,NB_CLICKS_DATASCIENCE,NB_CLICKS_BACKEND,NB_CLICKS_FRONTEND,NB_CLICKS_IA,NB_CLICKS_BDD,ORIENTATION,FAV_COURS,HAT_COURS,PROFILE
David Jared,36738892,34,68,43,9.93291805,22.20161428,7,3,6,1,0,3,6,0,1,1,51,58,63,45.81297372,38.2210051,107,596,245,64,30,PRACTICE,BACKEND,IA,intermediate_backend
Marcus Pettit,46839787,36,0,63,13.18902636,0,2,0,2,1,0,0,7,5,0,2,36,72,65,2.006983294,3.318991263,356,0,239,4,0,PRACTICE,FRONTEND,BDD,intermediate_frontend
Mary Armand,55261852,0,13,13,0,6.900503065,2,5,2,0,0,3,3,5,1,2,84,60,61,12.45351956,21.2925107,0,24,103,0,10,THEORY,DATASCIENCE,IA,intermediate_datascience
Concepcion Vorhies,5144540,37,57,28,29.05151057,21.96917815,5,3,5,1,0,4,1,4,1,1,80,70,70,43.34847377,6.778880635,204,25,279,115,95,THEORY,BACKEND,BDD,intermediate_backend
Charles Redman,21092358,49,51,31,9.784015326,7.603578205,5,2,5,0,0,3,7,3,2,1,59,65,72,56.73447853,3.152190107,280,91,130,11,22,THEORY,BACKEND,BDD,intermediate_backend
Juan Mitchell,84443850,19,43,25,9.77045433,0.951984007,2,3,5,1,0,2,3,6,2,2,70,83,61,28.4427066,6.780082138,64,364,16,49,1,PRACTICE,BACKEND,BDD,intermediate_backend
Joan Laird,99006866,85,8,30,50.35523835,1.750677421,7,4,7,0,1,1,3,2,1,0,39,84,71,10.8046336,35.39213747,501,20,51,349,12,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Jamel Stewart,40005419,69,82,23,3.205078478,8.812655125,5,3,2,0,0,3,6,1,1,1,70,73,61,67.54852738,50.66450772,119,724,129,25,15,PRACTICE,BACKEND,BDD,intermediate_backend
Cheryl Minor,57558318,57,68,7,34.63005656,53.4102621,8,2,8,1,0,2,4,2,1,1,67,63,83,47.4886444,29.17042784,521,605,17,209,164,PRACTICE,BACKEND,IA,intermediate_backend
John Bell,78525239,16,60,54,2.728385979,6.749877469,4,2,4,1,1,7,6,7,2,2,60,70,79,46.22610116,17.12609155,133,95,344,17,37,THEORY,FRONTEND,BDD,intermediate_frontend
Stephen Bruno,40816958,76,0,24,4.943921067,0,5,6,5,1,1,3,3,3,2,0,63,55,65,6.976563184,35.8166161,144,0,100,43,0,THEORY,DATASCIENCE,IA,intermediate_datascience
Edward Lilley,10893158,15,60,71,14.23328306,23.13952139,3,6,1,2,0,2,5,1,0,1,72,69,57,18.90443544,13.94317641,127,223,43,120,213,THEORY,BACKEND,IA,intermediate_backend
Sharon Mosier,34313624,42,42,76,40.55654539,3.081892369,6,3,4,1,0,6,1,4,2,1,75,59,45,37.77188794,22.33820241,231,4,729,209,5,PRACTICE,FRONTEND,BDD,intermediate_frontend
Albert Taft,17119385,90,31,73,72.75576133,25.19463153,4,6,8,1,2,3,7,0,1,0,47,40,62,34.61256627,38.07816638,337,66,274,305,63,THEORY,DATASCIENCE,BDD,intermediate_datascience
Terrence Nieves,1415906,41,25,26,12.48916454,14.49076426,2,5,1,1,0,2,4,4,1,1,41,80,72,14.23869738,66.34916269,267,143,220,100,124,PRACTICE,BACKEND,IA,intermediate_backend
Ronald Edwards,50796625,29,60,23,2.832491306,14.14569077,3,5,3,2,2,3,5,1,2,2,89,80,69,18.18000929,73.08303728,164,348,69,18,113,PRACTICE,BACKEND,IA,intermediate_backend
Brian Hensley,47525720,13,64,0,8.895029345,57.25959516,6,3,5,1,2,0,4,1,0,2,68,50,65,29.72655809,7.910730122,123,635,0,64,499,PRACTICE,BACKEND,IA,intermediate_backend
Jimmy Whicker,90085135,48,90,41,21.1273197,4.073248248,5,2,5,0,1,1,4,3,2,0,83,41,95,35.21670723,25.45150516,169,360,192,7,34,THEORY,FRONTEND,BDD,intermediate_frontend
Robert Edwards,71437699,32,64,50,3.905223515,12.91645492,4,0,8,0,2,4,0,10,2,2,100,67.18730557,76,87.29694769,20.82416892,204,548,497,30,104,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Melanie Pulliam,10811603,12,25,41,5.942122921,18.8011732,6,5,9,2,0,2,2,3,1,1,89,90,81,83.10513144,73.47990478,40,14,136,58,29,THEORY,FRONTEND,IA,intermediate_frontend
Joyce Griffin,32166875,15,54,36,0.515827817,38.30640824,5,3,7,2,2,5,5,4,1,2,63,75,62,10.63532105,34.08810554,74,178,110,3,335,THEORY,BACKEND,IA,intermediate_backend
Don Tripp,20686952,47,46,96,42.7380589,13.30649791,4,1,4,2,1,1,0,5,0,0,50,68,67,13.97465896,50.07729701,78,337,163,94,20,THEORY,FRONTEND,IA,intermediate_frontend
Joe Martin,25603651,20,37,45,5.175599632,2.294920388,4,6,3,2,2,6,7,8,1,2,86,59,59,67.59811557,18.39180775,97,51,421,44,7,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Margaret Violet,25189657,44,36,37,29.15098051,30.8908106,4,5,3,2,2,3,5,2,0,1,70,64,59,17.15341725,4.390159285,218,53,108,129,303,THEORY,DATASCIENCE,BDD,intermediate_datascience
Delores Morgan,69945656,17,39,14,5.299088294,12.23420788,5,3,5,1,2,6,4,5,2,1,68,80,61,17.99582634,60.17493497,109,279,111,22,23,PRACTICE,BACKEND,IA,intermediate_backend
Theresa Tello,51487356,57,3,53,29.64387721,0.587140245,4,3,7,0,2,3,6,2,0,2,65,51,78,43.98166301,30.7072176,272,0,320,255,3,PRACTICE,FRONTEND,BDD,intermediate_frontend
Michelle Staggs,6679474,92,64,70,50.2973457,33.02795663,2,4,4,0,2,2,7,2,2,0,58,88,92,29.62834724,76.26069388,701,194,395,444,14,PRACTICE,FRONTEND,IA,intermediate_frontend
William Harlow,92892886,29,79,39,5.36077921,71.90794874,5,4,6,1,2,5,1,3,2,0,67,60,67,47.14153906,6.937486474,9,384,325,46,291,THEORY,BACKEND,IA,intermediate_backend
Harland Gabe,44923822,82,70,21,79.50593948,3.048260449,8,11,2,2,2,7,1,7,1,2,66,79,42,4.79060917,76.60152741,605,596,180,540,11,PRACTICE,BACKEND,FRONTEND,intermediate_backend
Shirley Southwick,33038016,22,38,50,17.05292211,29.10055535,4,4,3,1,1,1,6,4,2,0,51,91,53,25.71443947,83.08426372,0,358,200,92,286,PRACTICE,BACKEND,IA,intermediate_backend
Martin Erickson,12800691,62,62,14,58.24893438,35.49334013,5,8,4,2,0,5,5,6,2,1,75,70,52,50.46345949,45.67728071,176,4,33,6,316,THEORY,DATASCIENCE,FRONTEND,intermediate_datascience
Patricia Harris,63409227,58,55,42,51.89998632,23.39970141,1,8,3,0,1,6,2,0,0,0,95,54,74,45.06886384,28.3781941,212,135,279,260,168,THEORY,DATASCIENCE,BDD,intermediate_datascience
Maria Wittner,7927168,50,42,91,29.89499894,31.25137865,4,4,8,0,2,3,3,1,1,2,56,69,56,7.157718029,27.54080741,442,108,227,138,217,THEORY,FRONTEND,IA,intermediate_frontend
Lucille Munsey,68015947,22,29,42,20.28123317,28.00890831,1,3,6,2,2,5,4,3,1,1,68,77,67,9.104299478,7.27121357,96,113,278,6,6,THEORY,FRONTEND,IA,intermediate_frontend
Roger Palmer,38626155,43,60,27,3.805177588,13.75237267,7,3,4,1,1,3,3,0,1,1,74,60,82,43.51197436,55.72707054,337,569,95,25,18,PRACTICE,BACKEND,IA,intermediate_backend
Anita Silkenson,18841597,4,75,52,0.78393145,10.77355238,3,3,4,2,2,6,1,1,2,2,57,74,80,8.21053151,14.43935646,23,111,65,6,82,THEORY,BACKEND,IA,intermediate_backend
Toni Sawyer,64613675,65,39,47,2.939773779,35.60238806,4,5,4,2,1,2,3,2,2,0,67,70,52,20.35227346,24.99565249,229,266,265,15,259,PRACTICE,DATASCIENCE,IA,intermediate_datascience
Rosemarie Turner,14022506,30,0,23,9.759909923,0,4,4,2,0,2,5,7,4,0,0,85,88,81,37.50030641,16.34630645,296,0,4,23,0,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Kelsey Wegner,58779700,52,73,16,20.21121906,31.97297957,4,2,0,2,2,4,5,2,1,1,67,61,68,39.75220925,15.93485782,442,405,20,14,187,PRACTICE,BACKEND,BDD,intermediate_backend
Patricia Schechter,38431395,45,57,38,12.21070643,32.67579551,6,8,2,1,0,3,9,6,1,1,77,63,49,20.42897523,24.730128,344,268,288,105,149,PRACTICE,DATASCIENCE,IA,intermediate_datascience
Patricia Mcrae,197787,72,26,62,59.66910066,19.38596153,2,3,6,2,2,3,4,6,2,2,40,62,67,16.20989316,43.20150379,138,86,312,560,91,THEORY,FRONTEND,BDD,intermediate_frontend
Kristine Pugh,9121922,55,80,42,19.62143297,61.8425519,1,4,4,0,0,7,11,5,0,0,50,64,57,18.3912528,51.91199056,521,167,298,81,218,THEORY,BACKEND,IA,intermediate_backend
Helen Keeney,64043525,44,90,0,12.36111843,82.79047627,4,1,3,1,0,3,0,6,2,1,65,77,58,6.309538461,4.486010453,126,282,0,8,804,PRACTICE,BACKEND,IA,intermediate_backend
Randy Ballintyn,53188901,54,66,44,29.30558849,28.17162407,5,3,4,1,1,3,2,2,1,0,73,25,76,58.67452479,20.38299566,211,565,238,210,278,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Daniel Townsend,3516387,29,69,63,4.086802524,20.24535279,2,5,5,0,0,4,3,5,2,2,44,67,72,32.66497115,53.13845224,6,241,119,30,55,THEORY,BACKEND,IA,intermediate_backend
Leeanne Jordan,34109584,38,28,27,30.48348527,17.91059947,1,4,4.048091374,0,1,3,4,5,0,1,68,73,73,53.32073271,9.848631735,172,269,142,194,82,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Bonnie Brinkman,83795319,52,35,37,3.876633471,14.55047647,2,2,3,2,1,5,5,8,0,2,68,96,64,10.01807945,26.34424143,161,6,140,32,62,THEORY,BACKEND,IA,intermediate_backend
Bonnie Medina,66174437,27,43,53,26.64594729,25.56773352,0,6,4,0,0,2,3,1,2,0,49,53,36,25.35973574,4.459016536,142,307,19,163,121,THEORY,BACKEND,BDD,intermediate_backend
Donna Skinner,94558625,85,24,0,65.64080539,10.07965916,1,6,1,0,1,0,0,1,1,0,47,52,42,15.52222695,25.18650325,163,18,0,615,63,THEORY,DATASCIENCE,BDD,intermediate_datascience
Peter Morales,57302076,44,50,41,8.743489988,7.649789334,4,1,1,0,0,5,5,3,2,1,59,67,72,20.56135736,64.90451656,116,181,58,34,50,THEORY,BACKEND,IA,intermediate_backend
Dale Swanson,46214453,27,29,45,0.149097162,13.6133758,5,3,6,0,2,0,1,2,2,1,68,69,83,4.474779576,60.47959131,165,243,248,0,57,PRACTICE,FRONTEND,IA,intermediate_frontend
Louis Carpenter,38070920,59,44,23,48.11222428,30.40038417,7,2,5,1,1,2,5,2,0,2,66,36,63,62.42527378,31.46472347,118,168,100,183,87,THEORY,DATASCIENCE,BDD,intermediate_datascience
Joy Kato,77874552,46,38,71,32.51543782,30.37278469,7,3,6,1,0,5,1,2,2,1,53,78,62,49.80406872,9.925138775,401,47,415,11,143,THEORY,FRONTEND,BDD,intermediate_frontend
Michelle Mundell,13005478,70,40,50,51.03050176,19.73305107,4,5,3,1,0,6,8,3,0,0,41,52,50,16.74100176,46.86718184,234,349,472,339,117,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Patricia Jones,47901337,40,39,63,30.85081387,6.444277718,4,3,6,0,0,0,1,1,0,1,65,30,54,55.53791217,0.604167206,197,275,450,28,42,PRACTICE,FRONTEND,BDD,intermediate_frontend
Larry Pierce,26603202,17,60,58,1.258759079,24.88126258,1,7,4,2,0,6,5,2,2,0,90,82,67,29.70982635,62.51294473,10,308,495,12,157,PRACTICE,BACKEND,IA,intermediate_backend
Andrea Gardner,2777983,37,55,37,13.26323196,43.24616609,2,0,3,2,2,9,1,7,0,1,84,67,80,46.99102216,20.06833046,190,175,24,5,425,THEORY,BACKEND,IA,intermediate_backend
Patrick Peck,64176692,34,24,50,3.939548024,9.908622495,3,4,4,2,1,3,3,2,2,2,41,65,71,30.52881641,32.61553228,159,206,391,13,2,PRACTICE,FRONTEND,IA,intermediate_frontend
Michele Arbuckle,92673264,40,61,10,34.52413704,42.48837841,5,6,3,2,0,3,8,7,1,2,91,46,42,47.59883407,33.75434561,393,202,28,37,374,PRACTICE,DATASCIENCE,FRONTEND,intermediate_datascience
Marsha Darrin,57925743,40,80,23,24.93192507,40.57709453,3,9,6,1,1,6,3,0,1,0,76,66,35,12.44946245,42.71761597,391,527,14,58,236,PRACTICE,BACKEND,IA,intermediate_backend
Robert Tedder,92942356,29,13,57,9.596042721,3.135900626,3,5,1,2,0,2,11,0,0,2,83,60,81,31.45993693,20.09714373,180,8,265,46,28,THEORY,FRONTEND,BDD,intermediate_frontend
Amanda Dekany,97855167,9,78,33,0.572025153,62.09973963,3,5,1,1,1,6,7,5,1,1,57,90,91,43.29170122,73.5773684,21,764,156,5,368,PRACTICE,BACKEND,IA,intermediate_backend
Jesse Tharpe,73092656,59,2,28,18.34795698,0.168426908,1,5,2,2,0,2,2,1,1,0,58,62,63,45.29006494,40.43123662,531,9,262,119,0,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Melissa Herr,79909940,44,82,0,14.30806617,43.04100319,3,0,4,2,0,3,1,7,2,1,56,88,74,18.9231211,74.24763032,326,105,0,105,161,THEORY,BACKEND,IA,intermediate_backend
Dewey Bradshaw,96257474,73,58,31,53.26125102,12.11567999,2,1,6,1,2,2,4,7,2,0,68,87,54,36.75233821,31.87319644,139,35,105,246,97,THEORY,BACKEND,BDD,intermediate_backend
Rita Byrne,87676286,48,80,29,30.60275863,5.365250283,5,5,3,1,1,0,9,4,1,0,81,35,35,16.77656171,4.108636935,320,630,234,144,18,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Raymond Larsen,85502620,4,26,17,3.54885097,13.07628236,9,7,5,2,0,3,3,3,1,0,69,72,86,17.32478994,26.77883057,11,193,15,28,85,PRACTICE,FRONTEND,IA,intermediate_frontend
Jimmy Brown,21610989,33,69,5,15.58309253,34.46978876,5,1,4,0,0,0,5,2,2,2,64,50,55,9.267922695,24.72544178,115,455,42,77,68,THEORY,BACKEND,IA,intermediate_backend
Shannon Crawford,3776377,39,35,25,4.664175592,24.74153156,6,4,6,2,2,1,6,2,2,2,56,81,72,24.52365737,11.66308216,229,230,149,28,225,PRACTICE,BACKEND,IA,intermediate_backend
Albert Marquez,2010402,0,80,58,0,59.58005544,3,1,5,2,2,8,0,4,1,2,74,63,78,53.27150514,35.38538178,0,549,453,0,269,PRACTICE,BACKEND,IA,intermediate_backend
Iris Smith,71656034,44,57,44,33.47454214,41.48411486,3,3,3,2,2,4,6,1,0,0,67,57,76,58.90547346,37.69729814,69,172,171,328,158,THEORY,FRONTEND,BDD,intermediate_frontend
Regina Silva,45001689,63,20,0,35.36046345,8.191174658,5,3,4,1,2,7,5,7,2,2,67,70,49,36.49484179,0.180662004,496,66,0,164,18,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Clark Neal,21425001,53,19,45,40.86126054,12.00210596,3,4,2,2,2,2,6,3,2,2,58,79,67,37.81803441,43.84368327,271,35,6,235,12,THEORY,FRONTEND,BDD,intermediate_frontend
Paula Rhodes,15873451,41,65,48,20.24561945,37.50144077,4,6,3,0,1,5,6,3,1,0,55,82,61,14.67522367,10.49129375,39,441,177,169,247,PRACTICE,BACKEND,IA,intermediate_backend
Helen Fisher,76411012,46,52,31,24.04571015,21.92121132,0,0,3,2,0,6,5,5,1,2,56,80,72,11.31551026,11.40728071,7,302,254,194,36,THEORY,BACKEND,BDD,intermediate_backend
Allan Adkins,54534858,40,34,11,17.10164073,20.3052316,3,4,3,0,1,3,7,7,0,0,84,46,50,33.2392201,17.33537161,286,7,108,169,160,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
William Patterson,79155215,54,70,28,1.372632844,66.30735137,5,2,7,0,2,1,8,4,2,2,64,66,74,35.77019409,6.128393933,461,357,255,5,446,PRACTICE,BACKEND,IA,intermediate_backend
Patrick Harris,26868394,37,26,26,3.991982799,5.015237336,0,4,2,0,0,5,7,2,1,0,63,64,69,2.11439521,36.6144572,6,104,52,5,39,THEORY,DATASCIENCE,IA,intermediate_datascience
Randolph Weller,46052685,6,4,35,0.188575114,3.623088383,2,3,5,2,1,1,2,4,1,0,69,60,75,6.354998962,44.2297332,39,30,17,0,24,THEORY,FRONTEND,IA,intermediate_frontend
Robert Burch,58417714,45,28,22,28.63846851,1.496754392,3,6,4,1,2,3,5,2,0,0,48,70,54,30.27696055,22.84992664,349,158,68,239,11,PRACTICE,BACKEND,BDD,intermediate_backend
Mickey Munoz,46266248,32,19,52,10.05939139,5.859395045,3,4,0,1,1,5,4,4,0,2,69,62,56,13.75237568,57.97169095,150,187,283,40,1,PRACTICE,FRONTEND,IA,intermediate_frontend
Rebecca Fala,66329441,36,56,33,18.30854488,16.13613392,5,4,4,2,1,4,4,3,2,0,58,48,56,26.29478877,34.11898864,204,182,0,63,22,THEORY,BACKEND,IA,intermediate_backend
Gloria Rubin,20411432,39,67,41,35.39509248,41.96646223,3,0,3,2,2,3,5,2,1,0,57,90,78,53.38140121,89.00985317,265,240,392,189,256,PRACTICE,BACKEND,IA,intermediate_backend
Jack Brooks,25206001,39,53,38,9.722396937,6.954922444,5,2,6,0,0,2,0,2,1,1,60,28,69,51.75631763,16.98994409,18,253,216,91,66,THEORY,FRONTEND,BDD,intermediate_frontend
Sonja Vargas,88275225,15,38,13,6.155743846,33.52920925,2,7,4,2,2,3,5,3,2,1,55,80,56,3.503768494,36.86624735,39,325,101,58,225,PRACTICE,BACKEND,IA,intermediate_backend
Lucille Isbell,89405689,52,42,4,39.2886592,34.79915916,6,5,4,1,2,3,4,5,0,0,75,72,57,4.403097193,55.00729607,350,206,7,243,333,PRACTICE,DATASCIENCE,IA,intermediate_datascience
Angela Borum,2309384,3,50,22,0.686394496,32.60329098,1,9,3,2,1,4,4,3,2,0,51,80,51,7.407704844,31.56933151,2,320,124,4,22,THEORY,BACKEND,IA,intermediate_backend
Tracey Destefano,62821707,11,30,54,0.846779008,13.75241495,4,0,4,2,0,1,0,5,2,2,54,0,68,6.285824552,0,77,76,509,0,98,PRACTICE,FRONTEND,IA,intermediate_frontend
Caroline Solanki,15649184,21,38,38,6.084780511,35.4523296,2,5,5,2,2,5,4,2,2,2,91,88,67,23.09723317,18.7476717,55,176,44,12,198,THEORY,BACKEND,IA,intermediate_backend
Jamison Peters,86317357,21,43.5522635,32,3.385647032,36.18089285,0,2,3,0,0,0,8,0,0,0,0,64,69,0,13.17278149,168,68,183,26,180,THEORY,BACKEND,IA,intermediate_backend
Evelyn Bessemer,11266040,36,0,42,33.46911548,0,4,1,2,2,1,6,5,3,0,2,72,64,71,5.971860582,31.30252235,30,0,369,236,0,PRACTICE,FRONTEND,BDD,intermediate_frontend
David Thompson,88729016,41,44,24,33.13293556,30.8824276,4,3,4,2,2,1,7,4,1,2,83,41,53,38.22322892,29.1768423,87,273,222,16,270,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Michael Baker,48562098,34,33,61,21.53572772,18.70868842,6,4,4,2,0,2,1,5,1,0,73,84,76,38.67721052,46.77731738,247,171,126,130,77,THEORY,FRONTEND,IA,intermediate_frontend
Mary Jackson,87168885,51,83,11,44.4444901,48.79920579,3,2,5,1,0,7,0,5,2,2,81,88,57,53.58922755,9.079363646,389,471,74,349,199,PRACTICE,BACKEND,BDD,intermediate_backend
Samantha Herrera,15756896,57,15,4,45.80930838,4.964641042,1,5,3,0,1,6,7,2,1,1,88,89,91,35.75784561,23.1866796,145,22,36,195,3,THEORY,DATASCIENCE,BDD,intermediate_datascience
Elizabeth Johnson,80512227,25,33,79,4.664251472,15.24879195,4,1,3,0,0,3,2,4,0,2,44,50,54,13.01936927,6.830604904,229,117,282,21,58,THEORY,FRONTEND,IA,intermediate_frontend
Eric Martinez,51794738,36,51,23,32.13212395,3.98419297,5,2,4,1,0,11,2,5,1,2,66,52,64,42.44985752,4.13578781,178,464,15,13,16,THEORY,BACKEND,BDD,intermediate_backend
Laura Burger,10974300,61,52,39,32.89987676,18.58213197,2,1,3,0,0,4,6,4,1,0,59,76,79,53.76057407,11.90896591,461,158,249,108,6,THEORY,BACKEND,BDD,intermediate_backend
Inez Nobel,8544566,0,18,52,0,12.52491328,4,3,7,1,2,0,0,4,0,2,41,75,79,16.25614213,38.98631623,0,106,482,0,108,PRACTICE,FRONTEND,IA,intermediate_frontend
Rita Driscoll,17255781,11,40,41,9.857004299,38.12864122,3,6,5,0,2,2,7,2,1,1,66,63,66,19.36683466,47.61229868,45,39,147,63,203,THEORY,FRONTEND,IA,intermediate_frontend
Gregory Diamond,86725848,0,22,55,0,21.18741048,0,6,4,0,1,0,5,4,0,0,0,77,71,0,30.56782901,0,164,10,0,63,THEORY,FRONTEND,DATASCIENCE,intermediate_frontend
Flossie Boyd,49984108,0,15,30,0,8.335843037,0,8,7,0,1,1,7,0,1,1,100,65,57,87.72741239,13.05133412,0,13,5,0,53,THEORY,DATASCIENCE,BDD,intermediate_datascience
Vincent Cahall,78851244,52,0,49,11.85262845,0,3,4,5,2,2,1,5,3,1,2,62,61,51,59.50770004,26.24878398,427,0,400,28,0,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Todd Moody,36287154,30,54,55,12.81323366,10.02894402,3,4,0,0,0,3,6,4,2,0,56,73,87,12.3281686,24.0853507,75,266,176,74,65,THEORY,FRONTEND,IA,intermediate_frontend
