NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,PROFILE
Ronald Edwards,50796625,29,60,23,3,5,3,3,5,1,89,80,69,beginner_backend
Brian Hensley,47525720,13,64,0,6,3,5,0,4,1,68,50,65,advanced_data_science
Jimmy Whicker,90085135,48,90,41,5,2,5,1,4,3,83,41,95,advanced_data_science
Robert Edwards,71437699,32,64,50,4,0,8,4,0,10,100,67.18730557,76,advanced_backend
Melanie Pulliam,10811603,12,25,41,6,5,9,2,2,3,89,90,81,beginner_data_science
Joyce Griffin,32166875,15,54,36,5,3,7,5,5,4,63,75,62,advanced_backend
Don Tripp,20686952,47,46,96,4,1,4,1,0,5,50,68,67,beginner_data_science
Joe Martin,25603651,20,37,45,4,6,3,6,7,8,86,59,59,beginner_front_end
Margaret Violet,25189657,44,36,37,4,5,3,3,5,2,70,64,59,beginner_front_end
Delores Morgan,69945656,17,39,14,5,3,5,6,4,5,68,80,61,advanced_backend
Theresa Tello,51487356,57,3,53,4,3,7,3,6,2,65,51,78,beginner_front_end
Michelle Staggs,6679474,92,64,70,2,4,4,2,7,2,58,88,92,beginner_data_science
William Harlow,92892886,29,79,39,5,4,6,5,1,3,67,60,67,advanced_backend
Harland Gabe,44923822,82,70,21,8,11,2,7,1,7,66,79,42,beginner_front_end
Shirley Southwick,33038016,22,38,50,4,4,3,1,6,4,51,91,53,advanced_front_end
Martin Erickson,12800691,62,62,14,5,8,4,5,5,6,75,70,52,beginner_front_end
Patricia Harris,63409227,58,55,42,1,8,3,6,2,0,95,54,74,advanced_front_end
Maria Wittner,7927168,50,42,91,4,4,8,3,3,1,56,69,56,beginner_data_science
Lucille Munsey,68015947,22,29,42,1,3,6,5,4,3,68,77,67,beginner_data_science
Roger Palmer,38626155,43,60,27,7,3,4,3,3,0,74,60,82,advanced_data_science
Anita Silkenson,18841597,4,75,52,3,3,4,6,1,1,57,74,80,advanced_backend
Toni Sawyer,64613675,65,39,47,4,5,4,2,3,2,67,70,52,advanced_front_end
Rosemarie Turner,14022506,30,0,23,4,4,2,5,7,4,85,88,81,beginner_front_end
Kelsey Wegner,58779700,52,73,16,4,2,0,4,5,2,67,61,68,beginner_backend
Patricia Schechter,38431395,45,57,38,6,8,2,3,9,6,77,63,49,beginner_front_end
Patricia Mcrae,197787,72,26,62,2,3,6,3,4,6,40,62,67,advanced_data_science
Kristine Pugh,9121922,55,80,42,1,4,4,7,11,5,50,64,57,advanced_data_science
Helen Keeney,64043525,44,90,0,4,1,3,3,0,6,65,77,58,beginner_backend
Randy Ballintyn,53188901,54,66,44,5,3,4,3,2,2,73,25,76,advanced_data_science
Daniel Townsend,3516387,29,69,63,2,5,5,4,3,5,44,67,72,advanced_data_science
Leeanne Jordan,34109584,38,28,27,1,4,4.048091374,3,4,5,68,73,73,advanced_front_end
Bonnie Brinkman,83795319,52,35,37,2,2,3,5,5,8,68,96,64,advanced_backend
Bonnie Medina,66174437,27,43,53,0,6,4,2,3,1,49,53,36,advanced_front_end
Donna Skinner,94558625,85,24,0,1,6,1,0,0,1,47,52,42,beginner_front_end
Peter Morales,57302076,44,50,41,4,1,1,5,5,3,59,67,72,beginner_backend
Dale Swanson,46214453,27,29,45,5,3,6,0,1,2,68,69,83,advanced_data_science
Louis Carpenter,38070920,59,44,23,7,2,5,2,5,2,66,36,63,advanced_data_science
Joy Kato,77874552,46,38,71,7,3,6,5,1,2,53,78,62,beginner_data_science
Michelle Mundell,13005478,70,40,50,4,5,3,6,8,3,41,52,50,advanced_data_science
Patricia Jones,47901337,40,39,63,4,3,6,0,1,1,65,30,54,advanced_data_science
Larry Pierce,26603202,17,60,58,1,7,4,6,5,2,90,82,67,advanced_front_end
Andrea Gardner,2777983,37,55,37,2,0,3,9,1,7,84,67,80,advanced_backend
Patrick Peck,64176692,34,24,50,3,4,4,3,3,2,41,65,71,beginner_data_science
Michele Arbuckle,92673264,40,61,10,5,6,3,3,8,7,91,46,42,beginner_front_end
Marsha Darrin,57925743,40,80,23,3,9,6,6,3,0,76,66,35,advanced_front_end
Robert Tedder,92942356,29,13,57,3,5,1,2,11,0,83,60,81,beginner_backend
Amanda Dekany,97855167,9,78,33,3,5,1,6,7,5,57,90,91,advanced_front_end
Jesse Tharpe,73092656,59,2,28,1,5,2,2,2,1,58,62,63,beginner_front_end
Melissa Herr,79909940,44,82,0,3,0,4,3,1,7,56,88,74,beginner_backend
Dewey Bradshaw,96257474,73,58,31,2,1,6,2,4,7,68,87,54,advanced_backend
Rita Byrne,87676286,48,80,29,5,5,3,0,9,4,81,35,35,beginner_front_end
Raymond Larsen,85502620,4,26,17,9,7,5,3,3,3,69,72,86,advanced_backend
Jimmy Brown,21610989,33,69,5,5,1,4,0,5,2,64,50,55,beginner_backend
Shannon Crawford,3776377,39,35,25,6,4,6,1,6,2,56,81,72,advanced_data_science
Albert Marquez,2010402,0,80,58,3,1,5,8,0,4,74,63,78,advanced_backend
Iris Smith,71656034,44,57,44,3,3,3,4,6,1,67,57,76,beginner_backend
Regina Silva,45001689,63,20,0,5,3,4,7,5,7,67,70,49,advanced_backend
Clark Neal,21425001,53,19,45,3,4,2,2,6,3,58,79,67,advanced_front_end
Paula Rhodes,15873451,41,65,48,4,6,3,5,6,3,55,82,61,advanced_front_end
Helen Fisher,76411012,46,52,31,0,0,3,6,5,5,56,80,72,advanced_backend
Allan Adkins,54534858,40,34,11,3,4,3,3,7,7,84,46,50,beginner_front_end
William Patterson,79155215,54,70,28,5,2,7,1,8,4,64,66,74,advanced_data_science
Patrick Harris,26868394,37,26,26,0,4,2,5,7,2,63,64,69,beginner_data_science
Randolph Weller,46052685,6,4,35,2,3,5,1,2,4,69,60,75,beginner_data_science
Robert Burch,58417714,45,28,22,3,6,4,3,5,2,48,70,54,advanced_front_end
Mickey Munoz,46266248,32,19,52,3,4,0,5,4,4,69,62,56,beginner_front_end
Rebecca Fala,66329441,36,56,33,5,4,4,4,4,3,58,48,56,beginner_data_science
Gloria Rubin,20411432,39,67,41,3,0,3,3,5,2,57,90,78,beginner_backend
Jack Brooks,25206001,39,53,38,5,2,6,2,0,2,60,28,69,advanced_data_science
Sonja Vargas,88275225,15,38,13,2,7,4,3,5,3,55,80,56,advanced_front_end
Lucille Isbell,89405689,52,42,4,6,5,4,3,4,5,75,72,57,beginner_front_end
Angela Borum,2309384,3,50,22,1,9,3,4,4,3,51,80,51,advanced_front_end
Tracey Destefano,62821707,11,30,54,4,0,4,1,0,5,54,0,68,beginner_data_science
Caroline Solanki,15649184,21,38,38,2,5,5,5,4,2,91,88,67,beginner_backend
Jamison Peters,86317357,21,43.5522635,32,0,2,3,0,8,0,0,64,69,beginner_backend
Evelyn Bessemer,11266040,36,0,42,4,1,2,6,5,3,72,64,71,beginner_front_end
David Thompson,88729016,41,44,24,4,3,4,1,7,4,83,41,53,beginner_front_end
Michael Baker,48562098,34,33,61,6,4,4,2,1,5,73,84,76,beginner_data_science
Mary Jackson,87168885,51,83,11,3,2,5,7,0,5,81,88,57,beginner_backend
Samantha Herrera,15756896,57,15,4,1,5,3,6,7,2,88,89,91,beginner_data_science
Elizabeth Johnson,80512227,25,33,79,4,1,3,3,2,4,44,50,54,beginner_data_science
Eric Martinez,51794738,36,51,23,5,2,4,11,2,5,66,52,64,advanced_backend
Laura Burger,10974300,61,52,39,2,1,3,4,6,4,59,76,79,advanced_backend
Inez Nobel,8544566,0,18,52,4,3,7,0,0,4,41,75,79,beginner_data_science
Rita Driscoll,17255781,11,40,41,3,6,5,2,7,2,66,63,66,beginner_backend
Gregory Diamond,86725848,0,22,55,0,6,4,0,5,4,0,77,71,beginner_backend
Flossie Boyd,49984108,0,15,30,0,8,7,1,7,0,100,65,57,beginner_backend
Vincent Cahall,78851244,52,0,49,3,4,5,1,5,3,62,61,51,advanced_front_end
Todd Moody,36287154,30,54,55,3,4,0,3,6,4,56,73,87,advanced_front_end
Robert Garcia,36842534,45,13,9,4,1,4,0,7,1,77,51,63,beginner_front_end
Anna Rivera,74341221,65,74,0,8,3,5,9,7,3,48,68,77,advanced_data_science
Frances Jones,90527486,50,8,19,0,5,5,2,3,3,43,72,48,advanced_front_end
James White,48309070,19,78,50,4,2,4,4,2,0,61,67,88,advanced_backend
Manuel Robinson,39996940,5,54,68,3,5,0,2,6,3,55,76,84,advanced_front_end
Racheal Quinn,81472792,29,76,46,4,6,3,6,5,3,75,70,71,advanced_front_end
Nicole Labianca,45317603,22,21,34,0,0,4,7,4,3,87,85,74,beginner_backend
Edna Madigan,35324341,0,12,48,4,7,3,4,8,0,91,54,66,beginner_backend
Christopher Moore,14472354,32,57,68,3,6,2,4,5,2,65,70,59,advanced_front_end
Samuel Necaise,16564052,0,1,31,0,7,8,3,4,4,97,87,70,beginner_backend
Sonya Corlew,34804549,34,20,29,3,2,2,4,3,5,83,85,79,beginner_data_science
Pete Schuster,86985969,63,53,17,7,3,4,3,6,1,65,34,59,advanced_data_science
Janet Baber,33257209,49,65,20,4,6,4,2,7,5,88,52,46,beginner_front_end
Ramon Whiting,41730867,23,0,30,0,4,2,4,6,5,61,79,90,advanced_front_end
Christie Duckey,79522169,70,35,20,10,2,6,4,3,0,55,58,72,advanced_data_science
Pat Smith,60517210,56,40,50,4,5,5,3,5,3,61,81,45,advanced_front_end
Harold Allen,22302595,76,14,45,2,6,5,5,4,2,50,55,72,beginner_front_end
Walter Hastie,29811948,40,3,52,4,4,5,5,7,2,72,80,83,beginner_front_end
Carmen Clanton,52710878,0,92,57,5,3,4,4,5,5,74,74,67,advanced_front_end
Charles Swindle,1539545,32,69,47,2,5,4,6,5,2,80,58,79,advanced_front_end
Sharon Carter,63214368,30,74,40,5,5,7,2,5,2,54,81,63,advanced_data_science
Jasper Yan,63875515,0,91,77,4,1,5,5,8,7,63,55,66,advanced_front_end
Barbara Langham,51438625,2,58,21,5,6,8,6,1,10,68,78,54,advanced_backend
William Garcia,60371163,20,14,41,1,4,9,4,5,2,75,89,74,beginner_data_science
William Jarvis,6467007,68,58,16,5,4,6,6,4,6,61,60,47,advanced_backend
Edith Wright,52060012,12,101,62,5,5,2,6,7,4,72,84,74,advanced_front_end
Lashawn Aburto,58240070,15,51,17,2,3,4,2,5,3,78,76,69,beginner_backend
Douglas Lynn,58343900,21,42,7,7,4,9,0,0,5,89,78,75,advanced_backend
Gregory Sowell,75561285,29,104,53,4,5,8,1,2,4,51,70,51,advanced_backend
Marquita Smith,11584014,68,57,53,4,7,1,3,4,0,68,66,64,advanced_front_end
Jesse Schell,58472295,43,14,18,6,2,7,2,4,4,48,82,77,advanced_data_science
Paul Massa,53428740,44,56,49,4,1,3,5,3,3,73,65,89,advanced_backend
Sherry Morey,77820233,70,47,51,2,6,5,1,5,0,61,46,55,beginner_front_end
John Moorehead,22049419,49,52,5,7,2,7,1,5,1,70,74,73,advanced_data_science
Priscilla Catron,78334652,55,56,18,7,7,5,4,2,4,71,73,54,beginner_front_end
Brandon Tobey,30405338,8,39,71,4,1,2,5,4,7,88,91,100,advanced_backend
Lamont Salazar,65636397,86,80,40,5,0,0,4,6,5,45,62,80,beginner_backend
Eileen Epperson,71120129,59,43,52,5,5,7,1,3,1,52,67,58,advanced_data_science
Amy Richardson,33088749,17,65,24,5,4,5,5,0,1,62,70,71,advanced_backend
Steven Olivarez,41410694,9,42,14,4,4,1,8,3,1,57,67,88,advanced_backend
Randal Myatt,13773307,41,60,77,4,3,5,2,5,2,47,46,28,advanced_front_end
Carol Herzog,14305911,0,38,68,5,2,7,0,0,5,58,70,70,beginner_data_science
David Nein,80065430,0,77,52,3,5,2,6,5,5,83,82,95,advanced_front_end
Ardis Miller,41187439,0,56,58,3,3,3,2,6,4,73,77,71,advanced_front_end
Leah Taylor,34977427,31,39,40,0,7,1,5,7,1,51,68,70,advanced_front_end
Armando Wilkins,13175326,30,7,79,3,2,2,10,5,0,70,85,45,beginner_data_science
Anne Myers,21946690,17,6,36,3,2,10,4,3,1,80,100,81,beginner_data_science
Michael Taylor,82605229,17,77,31,3,4,3,5,8,2,72,66,64,advanced_data_science
Peter Salazar,84020110,24,15,46,4,1,8,3,2,3,69,75,74,beginner_data_science
Mark Wood,20782587,22,29,27,2,8,5,4,4,3,69,83,49,advanced_front_end
Fredrick Hegyi,45669493,30,57,24,2,5,1,3,5,5,40,87,77,advanced_front_end
Marlon Norman,35315429,22,40,0,1,1,1,0,5,3,86,62,46,beginner_front_end
Jon Byrant,82502365,18,14,15,0,3,7,2,4,2,66,67,80,beginner_data_science
Loretta Dunn,25681920,32,46,0,7,3,4,0,4,0,87,71,76,advanced_data_science
Ken Young,50572563,29,26,36,2,7,3,2,4,2,58,74,59,advanced_front_end
Jose Norton,63518746,52,55,18,5,4,5,4,3,5,68,64,67,advanced_backend
Emily Theisen,22108921,6,41,58,4,5,3,1,5,4,51,78,44,advanced_front_end
Milton Ferguson,34986386,26,11,50,0,5,4,2,5,3,62,75,56,advanced_front_end
John Ness,2313388,74,43,33,4,8,0,2,2,0,70,93,67.1104446,advanced_front_end
Michelle Matelski,39586835,9,27,42,3,7,4,3,5,6,67,71,79,beginner_backend
Nicole Reynolds,51825736,65,86,61,4,2,5,3,6,6,47,63,76,advanced_backend
Velma Thomas,66846382,59,34,53,6,2,8,2,0,6,41,65,97,advanced_data_science
Reynaldo Murray,8105364,15,21,3,1,4,1,6,0,2,78,100,73,advanced_backend
Helen Clark,77832589,14,11,42,4,2,6,0,3,1,63,62,54,advanced_data_science
Sidney London,84038879,23,62,20,4,6,1,2,7,0,76,54,70,advanced_data_science
Kim Albaladejo,58019498,42,38,40,5,1,7,4,5,10,85,73,77,advanced_backend
Brian Martin,36996255,9,14,45,4,2,7,0,3,3,34,78,86,beginner_data_science
Mary Mercuri,5629201,10,64,44,7,0,10,4,3,7,84,57,73,advanced_backend
Anita Murphy,36012241,40,14,26,4,5,4,4,9,3,83,54,69,beginner_front_end
Charles Laigo,56027469,40,91,23,5,1,6,7,10,6,45,42,55,advanced_data_science
Richard Markus,17152526,39,41,33,2,7,3,3,7,4,76,75,61,beginner_front_end
Shirly Schiro,66395772,57,27,8,0,6,5,3,10,4,79,43,70,beginner_front_end
Debra Sanchez,80037848,63,22,16,4,2,1,5,3,2,74,78,89,advanced_backend
Toni Harrington,23200815,30,25,77,4,1,5,0,1,4,31,69,82,beginner_data_science
Robert Biederman,15752255,28,22,48,2,4,6,1,3,3,65,81,87,beginner_data_science
Beth Manning,41482862,24,57,45,3,5,4,4,4,5,65,74,68,advanced_front_end
Dennis Chase,44994062,27,113,65,6,7,4,5,3,1,88,44,44,advanced_front_end
Gertrude Grandi,23809101,45,63,45,5,1,0,5,6,2,67,84,100,beginner_backend
Noe Collins,58885055,8,1,41,4,2,1,4,4,4,63,75,81,beginner_data_science
Petra Rankin,3895324,36,25,56,4,3,3,3,3,3,65,70,73,beginner_data_science
Debra Pacheco,60102442,34,29,80,1,3,6,5,2,2,50,70,53,beginner_data_science
Kathleen Moneypenny,9735234,45,41,70,5,3,6,2,0,4,50,79,72,beginner_data_science
Patricia Kaminski,66016623,74,50,40,6,0,3,5,4,3,77,52,83,advanced_backend
Helen Bennett,20050902,62,39,38,0,6,5,1,4,0,51,52,53,beginner_front_end
Violet Presley,48430518,61,61,41,4,1,7,3,6,4,61,40,62,advanced_data_science
Mark Springer,96266523,4,83,49,6,5,3,1,4,4,52,84,42,advanced_front_end
Fredrick Spueler,45940137,17,20,41,5,5,1,0,2,5,65,58,86,beginner_data_science
Tonya Richardson,55409518,41,55,41,6,1,3,7,3,3,46,76,65,beginner_data_science
Michelle David,87890947,5,74,41,5,4,7,6,0,3,67,71,60,advanced_backend
Debra Merrifield,79855320,16,52,25,3,3,2,1,3,7,63,71,75,beginner_backend
Peter White,62528139,31,58,14,4,5,4,4,6,4,66,91,91,beginner_backend
Patricia Lahey,86653207,66,46,0,7,8,5,2,5,5,53,63,46,advanced_backend
Eileen Headd,47758143,0,78,60,4,4,7,4,6,5,66,77,42,advanced_front_end
Beth Moreschi,5307264,0,69,30,9,6,9,1,3,3,57,64,65,advanced_backend
Kimberly Austin,79240197,15,17,16,4,3,3,7,4,5,66,100,53,advanced_backend
Steven Her,38805351,15,35,15,8,4,8,3,2,7,82,77,74,advanced_backend
Lucia Tirey,85398426,35,47,28,2,5,7,5,2,1,100,75,46,beginner_backend
Tom Massey,7281761,24,61,36,4,4,2,2,3,6,60,70,85,beginner_backend
Lisa Fletcher,20832483,54,30,59,3,3,2,4,8,2,57,61,73,beginner_backend
Jean Hollinger,88107332,16,29,18,4,2,1,4,4,4,93,60,57,beginner_front_end
Kimberly Quintanilla,38595066,56,22,35,5,2,6,3,4,3,46,57,62,advanced_data_science
Susan Berry,81308731,39,29,28,5,0,7,6,4,9,88,74,82,advanced_backend
Alan Stroman,55269356,39,54,54,0,4,5,0,4,4,0,55,67,beginner_data_science
Aletha Banerjee,74476414,12,55,60,7,2,5,1,6,2,67,64,100,advanced_backend
Margie Baker,45006941,22,18,39,1,5,5,1,5,3,77,75,89,beginner_data_science
Marcus Pease,26265532,49,26,54,3,8,3,5,4,5,63,74,69,beginner_front_end
Matthew Sandstrom,40530122,28,39,12,3,4,4,8,0,8,80,84,62,advanced_backend
Armando Mickey,87008338,78,65,42,5,3,5,8,6,5,34,50,67,advanced_data_science
Ivan Pritt,21080483,70,1,7,2,4,7,4,7,2,77,66,82,beginner_front_end
Vera Brewer,44791130,37,62,12,7,5,5,2,1,0,62,57,77,advanced_backend
Man Russell,54884131,0,58,29,7,4,8,7,0,6,78,64,74,advanced_backend
Ronald Matheny,64533328,41,57,3,7,2,7,0,3,0,74,62,76,advanced_data_science
Donald Fabela,50654621,46,21,52,3,6,4,3,4,4,83,89,86,beginner_data_science
Samuel Pruiett,86825063,87,10,60,4,8,4.048091374,4,5,0,50,62,79,beginner_front_end
Gordon Stoute,75943262,38,51,30,2,4,3,4,5,3,77,71,67,beginner_backend
Michael Mcguire,68125404,0,63,49,6,1,8,6,1,8,100,72,70,advanced_backend
Christina Proctor,40542396,47,45,42,2,0,2,6,6,3,64,72,85,beginner_backend
James Compton,10270,26,32,64,4,4,3,7,2,4,83,76,49,beginner_data_science
David Obryant,14778152,0,56,42,4,5,4,2,6,4,44,68,44,advanced_front_end
Edward Booth,27087451,21,60,53,2,4,4,2,5,3,72,55,78,advanced_data_science
Brian Madrid,67349743,17,57,42,6,6,1,6,2,4,64.93900101,78,54,beginner_front_end
Brandon Mattox,5068000,36,46,0,1,2,0,1,3,5,79,55,38,beginner_front_end
Lara Peters,49479639,45,18,8,0,5,4,5,6,3,71,66,75,beginner_data_science
Mary Brookshire,99528812,3,14,85,4,1,9,1,1,2,35,71,60,beginner_data_science
Ronald Humes,83409223,52,67,16,2,4,6,3,3,5,53,75,46,advanced_backend
Kenneth Perron,47685630,43,54,46,4,6,3,3,2,2,62,66,55,advanced_front_end
Julianne Rusher,50553487,12,24,40,3,6,4,5,4,5,72,64,64,beginner_backend
Jerry Mccall,15819313,9,80,39,2,6,2,5,6,3,54,70,65,advanced_front_end
Pamela Thomas,44760382,73,42,0,9,2,7,3,5,2,52,67,70,advanced_data_science
Kirk Shelton,19633769,8,60,1,1,1,4,0,4,3,76,69,57,beginner_backend
Richard Pendry,40861964,45,41,22,5,3,7,2,4,5,42,80,74,advanced_data_science
David Lovins,39499156,56,45,50,4,4,5,0,2,1,74,40,69,advanced_data_science
Edward Hodges,23102212,31,28,66,3,4,1,5,5,1,72,54,57,beginner_front_end
Everett Reveles,45923818,23,40,25,5,5,3,4,6,2,83,76,71,beginner_backend
Cynthia Elwood,85472340,29,47,43,3,4,5,3,4,4,76,90,80,beginner_backend
Ronnie Williams,22790912,25,17,34,1,3,9,3,5,2,86,79,63,beginner_data_science
Norma Hurtado,80368418,36,10,79,1,1,0,7,3,2,55,73,58,beginner_data_science
Karen Liston,92723117,33,41,19,2,6,2,1,8,1,95,57,64,beginner_backend
Joyce Smith,69306145,18,49,15,4,3,4,5,3,4,65,84,60,advanced_backend
Magdalena Felipe,47816650,56,24,41,2,4,5,0,5,3,52,54,44,advanced_data_science
Trisha Lively,97750451,80,69,12,6,2,6,4,10,5,52,59,62,advanced_data_science
Dante Galyean,12350917,82,71,65,4,7,1,4,4,0,73,62,56,advanced_front_end
Tony Bemis,22131418,49,7,24,2,4,4,4,7,4,73,49,67,beginner_front_end
Joshua Hansen,43678215,55,58,85,2,1,5,5,4,7,54,67,94,advanced_data_science
Marcus Haley,1602313,21,38,41,5,4,1,5,5,2,84,71,85,beginner_backend
Agnes Horton,24723224,26,30,29,3,2,8,0,4,3,65,78,88,beginner_data_science
Micheal Mclean,56351000,29,60,10,6,4,4,4,5,2,53,68,73,advanced_data_science
Mary Hill,39571214,43,50,63,3,7,1,3,6,1,64,58,49,beginner_front_end
Allen Estrada,30304238,51,48,26,5,2,3,3,8,1,70,44,49,advanced_data_science
Charlie Sandoval,82580482,29,7,15,6,4,6,3,6,10,82,99,59,advanced_backend
Joseph Hutchinson,9178442,12,20,55,4,5,0,5,9,1,78,62,89,beginner_backend
Jerry Egan,48678721,17,28,2,6,4,6,8,2,9,89,76,50,advanced_backend
Jamie Amick,63267262,78,58,63,1,3,0,7,6,3,68,99,77,beginner_data_science
Dorothy Bradley,96685412,57,30,24,2,6,3,1,6,3,77,58,58,beginner_front_end
Gene Brown,82440503,1,25,38,4,4,10,0,1,4,63,87,88,beginner_data_science
Dana Pope,1412274,96,43,44,5,7,1,5,4,1,71,68,83,advanced_front_end
Billy Dean,60510259,39,57,58,3,4,5,5,5,3,75,53,68,advanced_front_end
Brandy Coble,92382314,40,67,42,6,6,1,2,5,6,82,50,35,beginner_front_end
David Martin,76731750,20,52,39,7,3,8,4,4,8,79,62,81,advanced_backend
Jordan Johnson,54915829,45,47,36,5,3,6,3,5,5,68,73,71,advanced_backend
Edna Jackson,86815804,12,2,55,1,0,3,5,4,1,35,22,42,beginner_data_science
Brittany Zackery,90917988,86,30,29,8,1,9,2,4,3,45,61,63,advanced_data_science
Wendell Buckley,52924276,39,47,41,2,1,2,4,6,4,63,82,77,beginner_backend
Clinton Andrews,62711848,49,55,38,4,3,2,2,10,0,54,56,74,beginner_backend
Gene Daley,8360657,30,62,5,7,1,6,3,3,3,63,49,80,advanced_data_science
Martin Jones,2949944,29,68,61,6,0,5,5,6,0,58,57,80,advanced_backend
Daniel Holmes,32516541,47,64,26,4,2,2,2,8,1,58,59,77,beginner_backend
James Sleiman,77477366,47,9,39,4,3,4,3,3,4,48,69,71,advanced_data_science
Emilio Winder,75138678,69,71,84,3,6,4,2,4,2,57,58,62,beginner_data_science
Fred Garner,75062035,42,43,47,2,6,1,5,6,2,71,58,55,beginner_front_end
Shaun Avila,69659016,45,72,60,7,0,7,4,3,4,86,51,80,advanced_backend
Kathryn Gerard,76578422,64,74,13,4,5,4,4,3,2,44,50,58,advanced_backend
Russell Asato,9913644,14,34,44,1,6,3,0,7,3,80,67,74,beginner_backend
Amber Chang,17246373,74,14,13,3,3,4,1,5,3,69,45,54,beginner_front_end
Jennifer Evans,16614639,47,63,25,2,4,0,4,5,4,37,72,94,advanced_front_end
Leslie Roden,4208627,6,27,7,6,3,5,5,1,2,86,83,75,advanced_backend
Herbert Venable,46381544,20,46,63,3,6,8,2,4,1,65,74,74,beginner_data_science
Linda Wilcox,60246300,52,56,78,6,4,4,2,4,4,55,85,75,beginner_data_science
Sandra Howard,60474099,31,22,61,6,1,3,4,1,4,50,64,60,beginner_data_science
Candice Carn,59888879,36,37,28,3,6,0,5,7,2,60,56,60,advanced_data_science
Clara Wills,86816136,55,68,63,6,5,5,4,1,3,64,66,67,beginner_data_science
