NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,HOURS_IA,HOURS_BDD,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_BEGINNER_IA,NUM_COURSES_BEGINNER_BDD,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,NUM_COURSES_ADVANCED_IA,NUM_COURSES_ADVANCED_BDD,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,AVG_SCORE_IA,AVG_SCORE_BDD,PROFILE,FAV_COURS,HAT_COURS
Danny Wilkinson,69211796,51,38,27,1.049809209,15.75011564,0,4,0,0,1,0,5,2,0,2,0,38,41,0,4.933391609,intermediate_backend,BACKEND,IA
Marc Ferris,34028847,39,52,34,37.82648423,1.708861741,2,4,4,0,2,1,5,5,0,1,69,65,73,52.95132824,36.28455768,intermediate_backend,BACKEND,BDD
Monique Vaughn,87147288,28,44,16,23.30839394,5.979924821,3,2,5,2,2,0,4,4,1,0,41,40,76,0.607015279,15.81934697,intermediate_frontend,FRONTEND,BDD
Laurie Ropers,28065441,74,36,41,15.71309419,11.51198241,2,5,2,1,1,3,4,2,2,0,52,77,66,45.0195446,56.79086784,intermediate_datascience,DATASCIENCE,IA
Roberto Russell,13095342,69,40,18,12.54592274,13.67943221,4,3,5,2,2,4,7,6,1,2,40,82,78,0.118018468,49.29303777,intermediate_backend,BACKEND,IA
Laura Tofil,81228144,46,102,44,8.436607453,91.75769208,7,9,3,1,2,5,3,3,2,1,69,94,50,31.1891008,17.18940471,intermediate_backend,BACKEND,IA
Angela Boner,72893547,54,71,47,16.42908112,52.66871656,2,4,3,1,0,2,5,5,1,2,70,88,86,61.69425322,13.51056218,intermediate_backend,BACKEND,BDD
Ursula Kuehnert,34472788,68,54,29,35.68343735,52.49788028,4,8,5,2,2,6,4,3,1,0,64,69,50,26.75181303,6.908960873,intermediate_datascience,DATASCIENCE,BDD
John Shear,41667523,18,48,10,7.775010336,28.7554325,2,4,5,2,0,3,7,0,1,0,82,75,57,61.96494571,55.69363472,intermediate_backend,BACKEND,FRONTEND
John Tharp,83004498,47,46,53,13.68776959,11.11883168,3,5,3,2,1,4,3,1,0,0,66,60,51,26.59322704,19.92963195,intermediate_datascience,DATASCIENCE,BDD
Alberto Cruz,29764891,65,27,27,39.77043816,8.846685808,1,7,5,2,1,4,6,4,0,0,63,55,62,53.60826325,24.21770286,intermediate_datascience,DATASCIENCE,BDD
Lance Rochester,19728116,49,44,85,6.835199172,14.07278062,2,3,5,0,0,6,4,2,2,0,45,89,61,44.96535739,38.07914336,intermediate_frontend,FRONTEND,IA
David Jared,36738892,34,68,43,9.93291805,22.20161428,7,3,6,1,0,3,6,0,1,1,51,58,63,45.81297372,38.2210051,intermediate_backend,BACKEND,IA
Marcus Pettit,46839787,36,0,63,13.18902636,0,2,0,2,1,0,0,7,5,0,2,36,72,65,2.006983294,3.318991263,intermediate_frontend,FRONTEND,BDD
Mary Armand,55261852,0,13,13,0,6.900503065,2,5,2,0,0,3,3,5,1,2,84,60,61,12.45351956,21.2925107,intermediate_datascience,DATASCIENCE,IA
Concepcion Vorhies,5144540,37,57,28,29.05151057,21.96917815,5,3,5,1,0,4,1,4,1,1,80,70,70,43.34847377,6.778880635,intermediate_backend,BACKEND,BDD
Charles Redman,21092358,49,51,31,9.784015326,7.603578205,5,2,5,0,0,3,7,3,2,1,59,65,72,56.73447853,3.152190107,intermediate_backend,BACKEND,BDD
Juan Mitchell,84443850,19,43,25,9.77045433,0.951984007,2,3,5,1,0,2,3,6,2,2,70,83,61,28.4427066,6.780082138,intermediate_backend,BACKEND,BDD
Joan Laird,99006866,85,8,30,50.35523835,1.750677421,7,4,7,0,1,1,3,2,1,0,39,84,71,10.8046336,35.39213747,intermediate_datascience,DATASCIENCE,BDD
Jamel Stewart,40005419,69,82,23,3.205078478,8.812655125,5,3,2,0,0,3,6,1,1,1,70,73,61,67.54852738,50.66450772,intermediate_backend,BACKEND,BDD
Cheryl Minor,57558318,57,68,7,34.63005656,53.4102621,8,2,8,1,0,2,4,2,1,1,67,63,83,47.4886444,29.17042784,intermediate_backend,BACKEND,IA
John Bell,78525239,16,60,54,2.728385979,6.749877469,4,2,4,1,1,7,6,7,2,2,60,70,79,46.22610116,17.12609155,intermediate_frontend,FRONTEND,BDD
Stephen Bruno,40816958,76,0,24,4.943921067,0,5,6,5,1,1,3,3,3,2,0,63,55,65,6.976563184,35.8166161,intermediate_datascience,DATASCIENCE,IA
Edward Lilley,10893158,15,60,71,14.23328306,23.13952139,3,6,1,2,0,2,5,1,0,1,72,69,57,18.90443544,13.94317641,intermediate_backend,BACKEND,IA
Sharon Mosier,34313624,42,42,76,40.55654539,3.081892369,6,3,4,1,0,6,1,4,2,1,75,59,45,37.77188794,22.33820241,intermediate_frontend,FRONTEND,BDD
Albert Taft,17119385,90,31,73,72.75576133,25.19463153,4,6,8,1,2,3,7,0,1,0,47,40,62,34.61256627,38.07816638,intermediate_datascience,DATASCIENCE,BDD
Terrence Nieves,1415906,41,25,26,12.48916454,14.49076426,2,5,1,1,0,2,4,4,1,1,41,80,72,14.23869738,66.34916269,intermediate_backend,BACKEND,IA
Ronald Edwards,50796625,29,60,23,2.832491306,14.14569077,3,5,3,2,2,3,5,1,2,2,89,80,69,18.18000929,73.08303728,intermediate_backend,BACKEND,IA
Brian Hensley,47525720,13,64,0,8.895029345,57.25959516,6,3,5,1,2,0,4,1,0,2,68,50,65,29.72655809,7.910730122,intermediate_backend,BACKEND,IA
Jimmy Whicker,90085135,48,90,41,21.1273197,4.073248248,5,2,5,0,1,1,4,3,2,0,83,41,95,35.21670723,25.45150516,intermediate_frontend,FRONTEND,BDD
Robert Edwards,71437699,32,64,50,3.905223515,12.91645492,4,0,8,0,2,4,0,10,2,2,100,67.18730557,76,87.29694769,20.82416892,intermediate_datascience,DATASCIENCE,BDD
Melanie Pulliam,10811603,12,25,41,5.942122921,18.8011732,6,5,9,2,0,2,2,3,1,1,89,90,81,83.10513144,73.47990478,intermediate_frontend,FRONTEND,IA
Joyce Griffin,32166875,15,54,36,0.515827817,38.30640824,5,3,7,2,2,5,5,4,1,2,63,75,62,10.63532105,34.08810554,intermediate_backend,BACKEND,IA
Don Tripp,20686952,47,46,96,42.7380589,13.30649791,4,1,4,2,1,1,0,5,0,0,50,68,67,13.97465896,50.07729701,intermediate_frontend,FRONTEND,IA
Joe Martin,25603651,20,37,45,5.175599632,2.294920388,4,6,3,2,2,6,7,8,1,2,86,59,59,67.59811557,18.39180775,intermediate_datascience,DATASCIENCE,BDD
Margaret Violet,25189657,44,36,37,29.15098051,30.8908106,4,5,3,2,2,3,5,2,0,1,70,64,59,17.15341725,4.390159285,intermediate_datascience,DATASCIENCE,BDD
Delores Morgan,69945656,17,39,14,5.299088294,12.23420788,5,3,5,1,2,6,4,5,2,1,68,80,61,17.99582634,60.17493497,intermediate_backend,BACKEND,IA
Theresa Tello,51487356,57,3,53,29.64387721,0.587140245,4,3,7,0,2,3,6,2,0,2,65,51,78,43.98166301,30.7072176,intermediate_frontend,FRONTEND,BDD
Michelle Staggs,6679474,92,64,70,50.2973457,33.02795663,2,4,4,0,2,2,7,2,2,0,58,88,92,29.62834724,76.26069388,intermediate_frontend,FRONTEND,IA
William Harlow,92892886,29,79,39,5.36077921,71.90794874,5,4,6,1,2,5,1,3,2,0,67,60,67,47.14153906,6.937486474,intermediate_backend,BACKEND,IA
Harland Gabe,44923822,82,70,21,79.50593948,3.048260449,8,11,2,2,2,7,1,7,1,2,66,79,42,4.79060917,76.60152741,intermediate_backend,BACKEND,FRONTEND
Shirley Southwick,33038016,22,38,50,17.05292211,29.10055535,4,4,3,1,1,1,6,4,2,0,51,91,53,25.71443947,83.08426372,intermediate_backend,BACKEND,IA
Martin Erickson,12800691,62,62,14,58.24893438,35.49334013,5,8,4,2,0,5,5,6,2,1,75,70,52,50.46345949,45.67728071,intermediate_datascience,DATASCIENCE,FRONTEND
Patricia Harris,63409227,58,55,42,51.89998632,23.39970141,1,8,3,0,1,6,2,0,0,0,95,54,74,45.06886384,28.3781941,intermediate_datascience,DATASCIENCE,BDD
Maria Wittner,7927168,50,42,91,29.89499894,31.25137865,4,4,8,0,2,3,3,1,1,2,56,69,56,7.157718029,27.54080741,intermediate_frontend,FRONTEND,IA
Lucille Munsey,68015947,22,29,42,20.28123317,28.00890831,1,3,6,2,2,5,4,3,1,1,68,77,67,9.104299478,7.27121357,intermediate_frontend,FRONTEND,IA
Roger Palmer,38626155,43,60,27,3.805177588,13.75237267,7,3,4,1,1,3,3,0,1,1,74,60,82,43.51197436,55.72707054,intermediate_backend,BACKEND,IA
Anita Silkenson,18841597,4,75,52,0.78393145,10.77355238,3,3,4,2,2,6,1,1,2,2,57,74,80,8.21053151,14.43935646,intermediate_backend,BACKEND,IA
Toni Sawyer,64613675,65,39,47,2.939773779,35.60238806,4,5,4,2,1,2,3,2,2,0,67,70,52,20.35227346,24.99565249,intermediate_datascience,DATASCIENCE,IA
Rosemarie Turner,14022506,30,0,23,9.759909923,0,4,4,2,0,2,5,7,4,0,0,85,88,81,37.50030641,16.34630645,intermediate_datascience,DATASCIENCE,BDD
Kelsey Wegner,58779700,52,73,16,20.21121906,31.97297957,4,2,0,2,2,4,5,2,1,1,67,61,68,39.75220925,15.93485782,intermediate_backend,BACKEND,BDD
Patricia Schechter,38431395,45,57,38,12.21070643,32.67579551,6,8,2,1,0,3,9,6,1,1,77,63,49,20.42897523,24.730128,intermediate_datascience,DATASCIENCE,IA
Patricia Mcrae,197787,72,26,62,59.66910066,19.38596153,2,3,6,2,2,3,4,6,2,2,40,62,67,16.20989316,43.20150379,intermediate_frontend,FRONTEND,BDD
Kristine Pugh,9121922,55,80,42,19.62143297,61.8425519,1,4,4,0,0,7,11,5,0,0,50,64,57,18.3912528,51.91199056,intermediate_backend,BACKEND,IA
Helen Keeney,64043525,44,90,0,12.36111843,82.79047627,4,1,3,1,0,3,0,6,2,1,65,77,58,6.309538461,4.486010453,intermediate_backend,BACKEND,IA
Randy Ballintyn,53188901,54,66,44,29.30558849,28.17162407,5,3,4,1,1,3,2,2,1,0,73,25,76,58.67452479,20.38299566,intermediate_datascience,DATASCIENCE,BDD
Daniel Townsend,3516387,29,69,63,4.086802524,20.24535279,2,5,5,0,0,4,3,5,2,2,44,67,72,32.66497115,53.13845224,intermediate_backend,BACKEND,IA
Leeanne Jordan,34109584,38,28,27,30.48348527,17.91059947,1,4,4.048091374,0,1,3,4,5,0,1,68,73,73,53.32073271,9.848631735,intermediate_datascience,DATASCIENCE,BDD
Bonnie Brinkman,83795319,52,35,37,3.876633471,14.55047647,2,2,3,2,1,5,5,8,0,2,68,96,64,10.01807945,26.34424143,intermediate_backend,BACKEND,IA
Bonnie Medina,66174437,27,43,53,26.64594729,25.56773352,0,6,4,0,0,2,3,1,2,0,49,53,36,25.35973574,4.459016536,intermediate_backend,BACKEND,BDD
Donna Skinner,94558625,85,24,0,65.64080539,10.07965916,1,6,1,0,1,0,0,1,1,0,47,52,42,15.52222695,25.18650325,intermediate_datascience,DATASCIENCE,BDD
Peter Morales,57302076,44,50,41,8.743489988,7.649789334,4,1,1,0,0,5,5,3,2,1,59,67,72,20.56135736,64.90451656,intermediate_backend,BACKEND,IA
Dale Swanson,46214453,27,29,45,0.149097162,13.6133758,5,3,6,0,2,0,1,2,2,1,68,69,83,4.474779576,60.47959131,intermediate_frontend,FRONTEND,IA
Louis Carpenter,38070920,59,44,23,48.11222428,30.40038417,7,2,5,1,1,2,5,2,0,2,66,36,63,62.42527378,31.46472347,intermediate_datascience,DATASCIENCE,BDD
Joy Kato,77874552,46,38,71,32.51543782,30.37278469,7,3,6,1,0,5,1,2,2,1,53,78,62,49.80406872,9.925138775,intermediate_frontend,FRONTEND,BDD
Michelle Mundell,13005478,70,40,50,51.03050176,19.73305107,4,5,3,1,0,6,8,3,0,0,41,52,50,16.74100176,46.86718184,intermediate_datascience,DATASCIENCE,BDD
Patricia Jones,47901337,40,39,63,30.85081387,6.444277718,4,3,6,0,0,0,1,1,0,1,65,30,54,55.53791217,0.604167206,intermediate_frontend,FRONTEND,BDD
Larry Pierce,26603202,17,60,58,1.258759079,24.88126258,1,7,4,2,0,6,5,2,2,0,90,82,67,29.70982635,62.51294473,intermediate_backend,BACKEND,IA
Andrea Gardner,2777983,37,55,37,13.26323196,43.24616609,2,0,3,2,2,9,1,7,0,1,84,67,80,46.99102216,20.06833046,intermediate_backend,BACKEND,IA
Patrick Peck,64176692,34,24,50,3.939548024,9.908622495,3,4,4,2,1,3,3,2,2,2,41,65,71,30.52881641,32.61553228,intermediate_frontend,FRONTEND,IA
Michele Arbuckle,92673264,40,61,10,34.52413704,42.48837841,5,6,3,2,0,3,8,7,1,2,91,46,42,47.59883407,33.75434561,intermediate_datascience,DATASCIENCE,FRONTEND
Marsha Darrin,57925743,40,80,23,24.93192507,40.57709453,3,9,6,1,1,6,3,0,1,0,76,66,35,12.44946245,42.71761597,intermediate_backend,BACKEND,IA
Robert Tedder,92942356,29,13,57,9.596042721,3.135900626,3,5,1,2,0,2,11,0,0,2,83,60,81,31.45993693,20.09714373,intermediate_frontend,FRONTEND,BDD
Amanda Dekany,97855167,9,78,33,0.572025153,62.09973963,3,5,1,1,1,6,7,5,1,1,57,90,91,43.29170122,73.5773684,intermediate_backend,BACKEND,IA
Jesse Tharpe,73092656,59,2,28,18.34795698,0.168426908,1,5,2,2,0,2,2,1,1,0,58,62,63,45.29006494,40.43123662,intermediate_datascience,DATASCIENCE,BDD
Melissa Herr,79909940,44,82,0,14.30806617,43.04100319,3,0,4,2,0,3,1,7,2,1,56,88,74,18.9231211,74.24763032,intermediate_backend,BACKEND,IA
Dewey Bradshaw,96257474,73,58,31,53.26125102,12.11567999,2,1,6,1,2,2,4,7,2,0,68,87,54,36.75233821,31.87319644,intermediate_backend,BACKEND,BDD
Rita Byrne,87676286,48,80,29,30.60275863,5.365250283,5,5,3,1,1,0,9,4,1,0,81,35,35,16.77656171,4.108636935,intermediate_datascience,DATASCIENCE,BDD
Raymond Larsen,85502620,4,26,17,3.54885097,13.07628236,9,7,5,2,0,3,3,3,1,0,69,72,86,17.32478994,26.77883057,intermediate_frontend,FRONTEND,IA
Jimmy Brown,21610989,33,69,5,15.58309253,34.46978876,5,1,4,0,0,0,5,2,2,2,64,50,55,9.267922695,24.72544178,intermediate_backend,BACKEND,IA
Shannon Crawford,3776377,39,35,25,4.664175592,24.74153156,6,4,6,2,2,1,6,2,2,2,56,81,72,24.52365737,11.66308216,intermediate_backend,BACKEND,IA
Albert Marquez,2010402,0,80,58,0,59.58005544,3,1,5,2,2,8,0,4,1,2,74,63,78,53.27150514,35.38538178,intermediate_backend,BACKEND,IA
Iris Smith,71656034,44,57,44,33.47454214,41.48411486,3,3,3,2,2,4,6,1,0,0,67,57,76,58.90547346,37.69729814,intermediate_frontend,FRONTEND,BDD
Regina Silva,45001689,63,20,0,35.36046345,8.191174658,5,3,4,1,2,7,5,7,2,2,67,70,49,36.49484179,0.180662004,intermediate_datascience,DATASCIENCE,BDD
Clark Neal,21425001,53,19,45,40.86126054,12.00210596,3,4,2,2,2,2,6,3,2,2,58,79,67,37.81803441,43.84368327,intermediate_frontend,FRONTEND,BDD
Paula Rhodes,15873451,41,65,48,20.24561945,37.50144077,4,6,3,0,1,5,6,3,1,0,55,82,61,14.67522367,10.49129375,intermediate_backend,BACKEND,IA
Helen Fisher,76411012,46,52,31,24.04571015,21.92121132,0,0,3,2,0,6,5,5,1,2,56,80,72,11.31551026,11.40728071,intermediate_backend,BACKEND,BDD
Allan Adkins,54534858,40,34,11,17.10164073,20.3052316,3,4,3,0,1,3,7,7,0,0,84,46,50,33.2392201,17.33537161,intermediate_datascience,DATASCIENCE,BDD
William Patterson,79155215,54,70,28,1.372632844,66.30735137,5,2,7,0,2,1,8,4,2,2,64,66,74,35.77019409,6.128393933,intermediate_backend,BACKEND,IA
Patrick Harris,26868394,37,26,26,3.991982799,5.015237336,0,4,2,0,0,5,7,2,1,0,63,64,69,2.11439521,36.6144572,intermediate_datascience,DATASCIENCE,IA
Randolph Weller,46052685,6,4,35,0.188575114,3.623088383,2,3,5,2,1,1,2,4,1,0,69,60,75,6.354998962,44.2297332,intermediate_frontend,FRONTEND,IA
Robert Burch,58417714,45,28,22,28.63846851,1.496754392,3,6,4,1,2,3,5,2,0,0,48,70,54,30.27696055,22.84992664,intermediate_backend,BACKEND,BDD
Mickey Munoz,46266248,32,19,52,10.05939139,5.859395045,3,4,0,1,1,5,4,4,0,2,69,62,56,13.75237568,57.97169095,intermediate_frontend,FRONTEND,IA
Rebecca Fala,66329441,36,56,33,18.30854488,16.13613392,5,4,4,2,1,4,4,3,2,0,58,48,56,26.29478877,34.11898864,intermediate_backend,BACKEND,IA
Gloria Rubin,20411432,39,67,41,35.39509248,41.96646223,3,0,3,2,2,3,5,2,1,0,57,90,78,53.38140121,89.00985317,intermediate_backend,BACKEND,IA
Jack Brooks,25206001,39,53,38,9.722396937,6.954922444,5,2,6,0,0,2,0,2,1,1,60,28,69,51.75631763,16.98994409,intermediate_frontend,FRONTEND,BDD
Sonja Vargas,88275225,15,38,13,6.155743846,33.52920925,2,7,4,2,2,3,5,3,2,1,55,80,56,3.503768494,36.86624735,intermediate_backend,BACKEND,IA
Lucille Isbell,89405689,52,42,4,39.2886592,34.79915916,6,5,4,1,2,3,4,5,0,0,75,72,57,4.403097193,55.00729607,intermediate_datascience,DATASCIENCE,IA
Angela Borum,2309384,3,50,22,0.686394496,32.60329098,1,9,3,2,1,4,4,3,2,0,51,80,51,7.407704844,31.56933151,intermediate_backend,BACKEND,IA
Tracey Destefano,62821707,11,30,54,0.846779008,13.75241495,4,0,4,2,0,1,0,5,2,2,54,0,68,6.285824552,0,intermediate_frontend,FRONTEND,IA
Caroline Solanki,15649184,21,38,38,6.084780511,35.4523296,2,5,5,2,2,5,4,2,2,2,91,88,67,23.09723317,18.7476717,intermediate_backend,BACKEND,IA
Jamison Peters,86317357,21,43.5522635,32,3.385647032,36.18089285,0,2,3,0,0,0,8,0,0,0,0,64,69,0,13.17278149,intermediate_backend,BACKEND,IA
Evelyn Bessemer,11266040,36,0,42,33.46911548,0,4,1,2,2,1,6,5,3,0,2,72,64,71,5.971860582,31.30252235,intermediate_frontend,FRONTEND,BDD
David Thompson,88729016,41,44,24,33.13293556,30.8824276,4,3,4,2,2,1,7,4,1,2,83,41,53,38.22322892,29.1768423,intermediate_datascience,DATASCIENCE,BDD
Michael Baker,48562098,34,33,61,21.53572772,18.70868842,6,4,4,2,0,2,1,5,1,0,73,84,76,38.67721052,46.77731738,intermediate_frontend,FRONTEND,IA
Mary Jackson,87168885,51,83,11,44.4444901,48.79920579,3,2,5,1,0,7,0,5,2,2,81,88,57,53.58922755,9.079363646,intermediate_backend,BACKEND,BDD
Samantha Herrera,15756896,57,15,4,45.80930838,4.964641042,1,5,3,0,1,6,7,2,1,1,88,89,91,35.75784561,23.1866796,intermediate_datascience,DATASCIENCE,BDD
Elizabeth Johnson,80512227,25,33,79,4.664251472,15.24879195,4,1,3,0,0,3,2,4,0,2,44,50,54,13.01936927,6.830604904,intermediate_frontend,FRONTEND,IA
Eric Martinez,51794738,36,51,23,32.13212395,3.98419297,5,2,4,1,0,11,2,5,1,2,66,52,64,42.44985752,4.13578781,intermediate_backend,BACKEND,BDD
Laura Burger,10974300,61,52,39,32.89987676,18.58213197,2,1,3,0,0,4,6,4,1,0,59,76,79,53.76057407,11.90896591,intermediate_backend,BACKEND,BDD
Inez Nobel,8544566,0,18,52,0,12.52491328,4,3,7,1,2,0,0,4,0,2,41,75,79,16.25614213,38.98631623,intermediate_frontend,FRONTEND,IA
Rita Driscoll,17255781,11,40,41,9.857004299,38.12864122,3,6,5,0,2,2,7,2,1,1,66,63,66,19.36683466,47.61229868,intermediate_frontend,FRONTEND,IA
Gregory Diamond,86725848,0,22,55,0,21.18741048,0,6,4,0,1,0,5,4,0,0,0,77,71,0,30.56782901,intermediate_frontend,FRONTEND,DATASCIENCE
Flossie Boyd,49984108,0,15,30,0,8.335843037,0,8,7,0,1,1,7,0,1,1,100,65,57,87.72741239,13.05133412,intermediate_datascience,DATASCIENCE,BDD
Vincent Cahall,78851244,52,0,49,11.85262845,0,3,4,5,2,2,1,5,3,1,2,62,61,51,59.50770004,26.24878398,intermediate_datascience,DATASCIENCE,BDD
Todd Moody,36287154,30,54,55,12.81323366,10.02894402,3,4,0,0,0,3,6,4,2,0,56,73,87,12.3281686,24.0853507,intermediate_frontend,FRONTEND,IA
Robert Garcia,36842534,45,13,9,36.81066447,9.039005405,4,1,4,2,2,0,7,1,1,0,77,51,63,23.31346934,2.278149248,intermediate_datascience,DATASCIENCE,BDD
Anna Rivera,74341221,65,74,0,55.94748791,5.228750658,8,3,5,2,1,9,7,3,2,0,48,68,77,43.48132076,62.73231323,intermediate_backend,BACKEND,BDD
Frances Jones,90527486,50,8,19,0.347606527,2.277485486,0,5,5,2,1,2,3,3,1,1,43,72,48,11.6095945,0.764368115,intermediate_datascience,DATASCIENCE,BDD
James White,48309070,19,78,50,9.704198749,52.13234109,4,2,4,1,2,4,2,0,2,0,61,67,88,21.08142699,2.760937305,intermediate_backend,BACKEND,IA
Manuel Robinson,39996940,5,54,68,2.087055016,16.7567471,3,5,0,0,1,2,6,3,1,2,55,76,84,35.17035953,22.8319545,intermediate_frontend,FRONTEND,IA
Racheal Quinn,81472792,29,76,46,6.441126504,3.788362433,4,6,3,0,1,6,5,3,0,0,75,70,71,42.61030684,54.37497857,intermediate_backend,BACKEND,IA
Nicole Labianca,45317603,22,21,34,2.637038081,17.4692786,0,0,4,0,1,7,4,3,1,0,87,85,74,76.37310041,41.553716,intermediate_datascience,DATASCIENCE,BDD
Edna Madigan,35324341,0,12,48,0,3.723960086,4,7,3,2,1,4,8,0,0,2,91,54,66,55.67822064,27.60793777,intermediate_frontend,FRONTEND,BDD
Christopher Moore,14472354,32,57,68,30.17311053,3.596997817,3,6,2,0,1,4,5,2,0,0,65,70,59,31.77718582,43.19542626,intermediate_backend,BACKEND,BDD
Samuel Necaise,16564052,0,1,31,0,0.074788165,0,7,8,2,0,3,4,4,2,0,97,87,70,7.172902757,3.494325568,intermediate_frontend,FRONTEND,BDD
Sonya Corlew,34804549,34,20,29,17.63888114,5.035175976,3,2,2,2,2,4,3,5,0,1,83,85,79,80.92719127,81.49816734,intermediate_datascience,DATASCIENCE,BDD
Pete Schuster,86985969,63,53,17,44.29019441,9.434845203,7,3,4,2,1,3,6,1,0,2,65,34,59,27.45054208,18.68319012,intermediate_datascience,DATASCIENCE,BDD
Janet Baber,33257209,49,65,20,17.81785052,50.32950766,4,6,4,2,1,2,7,5,2,2,88,52,46,50.38701411,42.83091838,intermediate_datascience,DATASCIENCE,FRONTEND
Ramon Whiting,41730867,23,0,30,22.3509879,0,0,4,2,0,1,4,6,5,1,0,61,79,90,30.62375189,33.89713284,intermediate_frontend,FRONTEND,BDD
Christie Duckey,79522169,70,35,20,67.37131065,28.16435248,10,2,6,2,2,4,3,0,1,1,55,58,72,40.58810755,25.27819766,intermediate_datascience,DATASCIENCE,BDD
Pat Smith,60517210,56,40,50,14.09980857,6.953839913,4,5,5,1,2,3,5,3,0,1,61,81,45,39.43351654,13.63740834,intermediate_backend,BACKEND,BDD
Harold Allen,22302595,76,14,45,37.79088645,6.900308514,2,6,5,1,2,5,4,2,2,1,50,55,72,17.13352291,19.80220392,intermediate_datascience,DATASCIENCE,BDD
Walter Hastie,29811948,40,3,52,12.03513239,2.064111401,4,4,5,1,1,5,7,2,1,1,72,80,83,37.44308395,14.79295522,intermediate_frontend,FRONTEND,BDD
Carmen Clanton,52710878,0,92,57,0,59.98315856,5,3,4,2,1,4,5,5,2,1,74,74,67,61.1267738,67.54093865,intermediate_backend,BACKEND,IA
Charles Swindle,1539545,32,69,47,1.180382315,41.47792929,2,5,4,0,2,6,5,2,2,2,80,58,79,50.67644044,19.05045592,intermediate_backend,BACKEND,IA
Sharon Carter,63214368,30,74,40,18.28693002,68.43679854,5,5,7,0,0,2,5,2,0,0,54,81,63,51.54778062,32.36089974,intermediate_backend,BACKEND,IA
Jasper Yan,63875515,0,91,77,0,20.79578844,4,1,5,2,0,5,8,7,2,2,63,55,66,47.49849685,7.379709743,intermediate_backend,BACKEND,BDD
Barbara Langham,51438625,2,58,21,0.102957502,28.63571386,5,6,8,2,2,6,1,10,0,2,68,78,54,32.99290699,77.3913493,intermediate_backend,BACKEND,IA
William Garcia,60371163,20,14,41,5.572929285,12.3758957,1,4,9,2,1,4,5,2,2,2,75,89,74,60.5258008,50.85811155,intermediate_frontend,FRONTEND,BDD
William Jarvis,6467007,68,58,16,61.76208025,4.517838405,5,4,6,1,1,6,4,6,0,1,61,60,47,26.97360407,34.47026082,intermediate_datascience,DATASCIENCE,BDD
Edith Wright,52060012,12,101,62,2.874742688,5.644715094,5,5,2,2,0,6,7,4,1,1,72,84,74,15.34962313,12.22376409,intermediate_backend,BACKEND,BDD
